gene,L,x,b,B,g,w,P,Pz,Ps,T,I,E,mean_E,h,m,queue
YHR057C,206,4.49,34.41,154.38,0.6971,1.44,2.879034e-05,1.246301e-04,3.506277e-03,84610,34734,49876,242.1,828408,1195140,0
YHR058C,296,3.57,38.28,136.68,0.4961,1.47,2.034418e-05,9.918864e-05,3.113153e-03,121341,49154,72187,243.9,1304098,1881415,0
YHR059W,131,3.15,29.19,91.95,1.3555,1.78,5.870606e-05,8.750040e-05,1.018346e-02,47282,17034,30248,230.9,344668,497251,0
YHR060W,182,4.73,NA,NA,0.8936,1.63,3.471502e-05,1.313635e-04,4.011114e-03,75655,28806,46849,257.4,NA,NA,0
YHR061C,315,0.55,630.60,348.31,3.7317,11.75,1.507346e-04,1.534271e-05,1.491191e-01,84617,6634,77983,247.6,2899805,4183534,0
YHR062C,294,2.71,247.60,670.36,0.9788,2.88,3.611656e-05,7.520770e-05,7.288974e-03,107364,27688,79676,271.0,4751859,6855483,0
YHR063C,380,7.61,629.56,4788.44,0.7154,2.72,3.636517e-05,2.112769e-04,2.612498e-03,102253,27499,74754,196.7,11999958,17312280,0
YHR064C,539,19.91,2623.93,52251.30,2.4150,13.02,1.755797e-04,5.531482e-04,4.817870e-03,79830,5695,74135,137.5,10358678,14944414,0
YHR065C,502,5.19,940.69,4884.43,1.1764,5.91,5.956465e-05,1.442325e-04,6.268271e-03,115937,16788,99149,197.5,10946746,15792817,0
YHR067W,281,1.93,4.01,7.74,0.1564,0.44,6.193696e-06,5.366836e-05,1.751676e-03,232404,161454,70950,252.5,448525,647085,0
YHR068W,388,10.48,10129.93,106170.10,2.0289,7.87,1.389106e-04,2.911342e-04,7.242099e-03,63869,7199,56670,146.1,50547154,72924129,0
YHR069C,360,10.39,111.26,1156.41,0.2990,1.08,1.291574e-05,2.887105e-04,6.790145e-04,160762,77425,83337,231.5,5971072,8614436,0
YHR070W,500,1.67,427.99,713.60,1.1023,5.51,4.979027e-05,4.631534e-05,1.631706e-02,130777,20084,110693,221.4,5958126,8595758,0
YHR071W,230,1.69,407.62,690.91,0.6277,1.44,2.758801e-05,4.708293e-05,8.893634e-03,88582,36248,52334,227.5,10241404,14775222,0
YHR072W,732,4.14,621.98,2572.31,0.2953,2.16,1.379277e-05,1.148797e-04,1.822344e-03,229224,72502,156722,214.1,31257337,45094806,0
YHR072W-A,59,62.12,72.43,4498.96,1.4731,0.87,9.772107e-05,1.725488e-03,8.596043e-04,19127,10233,8894,150.7,513730,741155,0
YHR073W,997,2.10,182.68,383.10,0.4801,4.79,1.967296e-05,5.825398e-05,5.125856e-03,294148,50831,243317,244.0,6436310,9285633,0
YHR074W,715,2.40,3667.45,8812.99,1.1336,8.11,5.392312e-05,6.675074e-05,1.226143e-02,168861,18545,150316,210.2,47142753,68012616,0
YHR075C,401,0.83,1438.94,1192.43,0.5411,2.17,2.352043e-05,2.301922e-05,1.550876e-02,134760,42516,92244,230.0,42405442,61178121,0
YHR076W,344,5.12,237.44,1216.17,0.6633,2.28,3.128457e-05,1.422804e-04,3.337394e-03,104896,31965,72931,212.0,5260692,7589575,0
YHR077C,1090,1.61,1061.75,1709.82,0.7255,7.91,3.273982e-05,4.473268e-05,1.110897e-02,272096,30544,241552,221.6,22478736,32429961,0
YHR078W,553,2.14,322.59,689.56,0.2408,1.33,9.361234e-06,5.937662e-05,2.392985e-03,249089,106824,142265,257.3,23886220,34460531,0
YHR079C,1116,0.64,487.98,311.69,0.6306,7.04,2.571272e-05,1.774296e-05,2.199603e-02,312569,38891,273678,245.2,13154579,18978046,0
YHR080C,1346,0.60,63.01,37.82,0.1731,2.33,7.088490e-06,1.667430e-05,6.452507e-03,469720,141074,328646,244.2,6161461,8889110,0
YHR081W,185,8.20,201.24,1649.29,0.7972,1.47,2.998148e-05,2.276537e-04,1.998944e-03,82542,33354,49188,265.9,4652568,6712237,0
YHR082C,1030,1.00,NA,NA,1.6263,16.75,7.704093e-05,2.790966e-05,4.189761e-02,230413,12980,217433,211.1,NA,NA,0
YHR083W,330,1.53,254.22,389.95,0.9274,3.06,3.663558e-05,4.260855e-05,1.305054e-02,110837,27296,83541,253.2,4809861,6939162,0
YHR084W,689,1.06,3671.23,3909.37,2.0421,14.07,9.116964e-05,2.957959e-05,4.678217e-02,165299,10969,154330,224.0,27911738,40268127,0
YHR085W,335,8.52,312.22,2658.70,0.3186,1.07,1.300248e-05,2.365404e-04,8.343405e-04,159002,76908,82094,245.1,16644099,24012360,0
YHR086W,524,0.91,157.95,143.15,1.8404,9.64,8.138036e-05,2.517535e-05,4.906439e-02,130787,12288,118499,226.1,1345339,1940914,0
YHR088W,296,6.79,1008.14,6840.65,1.2184,3.61,5.480122e-05,1.884831e-04,4.413063e-03,84060,18248,65812,222.3,12751391,18396369,0
YHR089C,206,21.96,505.08,11091.73,1.3248,2.73,8.299827e-05,6.100128e-04,2.065154e-03,44929,12048,32881,159.6,4218073,6085393,0
YHR090C,283,4.06,17.05,69.23,0.3042,0.86,1.460666e-05,1.127884e-04,1.965662e-03,127408,68462,58946,208.3,809058,1167225,0
YHR091C,644,0.89,74.12,65.91,0.2442,1.57,9.659355e-06,2.470081e-05,5.935527e-03,266333,103527,162806,252.8,5319118,7673865,0
YHR094C,571,2.47,732.44,1807.43,2.2897,13.07,1.534834e-04,6.854643e-05,3.398591e-02,91699,6515,85184,149.2,3307794,4772138,0
YHR097C,367,0.68,747.66,508.35,1.8213,6.68,7.626664e-05,1.888692e-05,6.129087e-02,100755,13112,87643,238.8,6795055,9803192,0
YHR098C,930,1.48,7670.52,11365.53,2.2724,21.13,1.075104e-04,4.115879e-05,3.964699e-02,205875,9301,196574,211.4,49453784,71346729,0
YHR099W,3745,0.29,NA,NA,3.2186,120.54,1.381015e-04,8.091145e-06,2.590662e-01,880049,7241,872808,233.1,NA,NA,0
YHR101C,336,1.32,596.10,786.58,0.6759,2.27,2.655536e-05,3.665374e-05,1.099655e-02,123174,37657,85517,254.5,15559391,22447457,0
YHR102W,1081,0.58,332.68,193.38,1.5738,17.01,6.473188e-05,1.614613e-05,6.085162e-02,278263,15448,262815,243.1,3562352,5139388,0
YHR103W,853,2.49,475.35,1182.68,0.6236,5.32,2.590601e-05,6.911209e-05,5.689431e-03,243936,38601,205335,240.7,12718530,18348960,0
YHR104W,328,1.65,3919.65,6458.53,3.5300,11.58,1.849831e-04,4.577035e-05,6.134371e-02,67998,5406,62592,190.8,14687247,21189218,0
YHR106W,343,2.38,187.69,447.25,0.2811,0.96,1.133880e-05,6.619277e-05,2.600033e-03,173219,88193,85026,247.9,11473564,16552854,0
YHR107C,408,2.46,2135.70,5260.00,2.9622,12.09,1.411267e-04,6.841353e-05,3.131047e-02,92724,7086,85638,209.9,10489559,15133235,0
YHR108W,586,2.10,9972.77,20926.60,4.3824,25.68,2.088773e-04,5.828817e-05,5.439177e-02,127735,4787,122948,209.8,33094044,47744613,1
YHR109W,586,0.54,294.16,157.63,0.7634,4.47,3.285697e-05,1.488477e-05,3.350486e-02,166593,30435,136158,232.4,6205527,8952684,0
YHR110W,213,4.43,35.17,155.69,0.4132,0.88,1.833627e-05,1.229510e-04,2.263608e-03,102535,54537,47998,225.3,1329662,1918296,0
YHR111W,441,3.43,114.51,393.15,0.6168,2.72,2.612441e-05,9.536819e-05,4.157815e-03,142405,38278,104127,236.1,3038312,4383358,0
YHR112C,379,1.48,186.78,276.82,1.0492,3.98,5.302575e-05,4.116835e-05,1.954995e-02,93849,18859,74990,197.9,2441582,3522458,0
YHR113W,491,2.72,209.43,570.53,0.9895,4.86,4.913789e-05,7.566993e-05,9.856337e-03,119224,20351,98873,201.4,2954323,4262187,0
YHR114W,634,0.90,4780.03,4317.50,2.5379,16.09,1.176831e-04,2.508994e-05,7.119292e-02,145223,8497,136726,215.7,28154103,40617785,0
YHR115C,417,1.90,715.84,1362.83,1.0065,4.20,4.257789e-05,5.288385e-05,1.222034e-02,122065,23486,98579,236.4,11653501,16812449,0
YHR117W,640,1.35,1698.08,2296.62,1.7713,11.34,8.380210e-05,3.756884e-05,3.385707e-02,147211,11933,135278,211.4,14045226,20262978,0
YHR118C,436,1.34,502.79,672.23,0.7796,3.40,3.253320e-05,3.713883e-05,1.329600e-02,135224,30738,104486,239.6,10712338,15454637,0
YHR119W,1081,1.14,282.23,321.90,0.6076,6.57,2.699477e-05,3.168174e-05,1.293281e-02,280362,37044,243318,225.1,7246969,10455167,0
YHR120W,960,1.63,1009.08,1648.27,0.2707,2.60,1.105120e-05,4.537320e-05,3.696853e-03,325658,90488,235170,245.0,63290966,91309563,0
YHR121W,188,10.36,40.27,417.29,0.7410,1.39,2.966325e-05,2.878211e-04,1.564294e-03,80672,33712,46960,249.8,941069,1357675,0
YHR122W,232,7.40,44.07,326.27,0.5409,1.25,2.155806e-05,2.056362e-04,1.591228e-03,104593,46386,58207,250.9,1417088,2044426,0
YHR123W,392,3.49,433.77,1515.68,0.8167,3.20,3.581674e-05,9.706099e-05,5.600975e-03,117310,27920,89390,228.0,8394575,12110812,0
YHR127W,244,2.84,1436.39,4078.89,2.1192,5.17,8.858851e-05,7.887998e-05,1.704641e-02,69656,11288,58368,239.2,11238826,16214199,0
YHR128W,217,9.27,1266.84,11746.56,2.9686,6.44,1.672487e-04,2.575655e-04,9.855924e-03,44496,5979,38517,177.5,5250288,7574564,0
YHR129C,385,1.40,42.14,59.17,0.4342,1.67,1.694789e-05,3.900563e-05,6.594936e-03,157638,59004,98634,256.2,1723433,2486389,0
YHR131C,851,0.94,109.61,103.36,0.2863,2.44,1.121726e-05,2.619333e-05,6.500078e-03,306344,89148,217196,255.2,6773304,9771812,0
YHR132C,431,4.52,530.61,2399.70,1.1530,4.97,5.111214e-05,1.256268e-04,6.175386e-03,116790,19565,97225,225.6,7195700,10381201,0
YHR132W-A,132,7.69,NA,NA,0.8368,1.10,3.511938e-05,2.135067e-04,2.496650e-03,59927,28474,31453,238.3,NA,NA,0
YHR133C,292,18.01,88.38,1591.56,0.4711,1.38,2.283447e-05,5.002140e-04,6.928790e-04,104036,43793,60243,206.3,2682863,3870553,0
YHR134W,270,3.81,1.74,6.63,0.1166,0.31,4.929261e-06,1.057343e-04,7.076007e-04,266753,202870,63883,236.6,244954,353394,0
YHR135C,539,2.32,2734.02,6343.71,2.1485,11.58,9.830031e-05,6.445238e-05,2.314932e-02,127977,10173,117804,218.6,19278471,27812954,0
YHR136C,149,17.07,45.57,777.83,0.5990,0.89,2.108366e-05,4.741191e-04,6.749644e-04,89759,47430,42329,284.1,1498206,2161454,0
YHR137W,514,10.27,822.32,8441.73,0.3549,1.82,1.650416e-05,2.851610e-04,8.784674e-04,171131,60591,110540,215.1,34535895,49824765,0
YHR138C,115,1.83,26.82,49.00,1.2597,1.45,5.896943e-05,5.075378e-05,1.763522e-02,41525,16958,24567,213.6,315196,454732,0
YHR142W,317,6.64,159.69,1061.09,0.4221,1.34,1.816100e-05,1.845701e-04,1.493485e-03,128733,55063,73670,232.4,6094985,8793205,0
YHR143W,326,9.47,4330.92,41012.94,2.4509,7.99,1.134828e-04,2.630499e-04,6.548087e-03,79219,8812,70407,216.0,26453032,38163658,0
YHR143W-A,71,19.35,44.48,860.83,1.1341,0.81,6.697074e-05,5.375617e-04,1.890946e-03,26955,14932,12023,169.3,460389,664201,0
YHR144C,313,4.30,77.53,333.66,0.5265,1.65,2.259360e-05,1.195470e-04,2.868594e-03,117195,44260,72935,233.0,2378495,3431443,0
YHR146W,466,5.16,680.37,3508.70,2.9136,13.58,1.345660e-04,1.432510e-04,1.425804e-02,108330,7431,100899,216.5,3504586,5056049,0
YHR147C,215,7.10,35.42,251.66,0.5428,1.17,2.114635e-05,1.973473e-04,1.626397e-03,102473,47289,55184,256.7,1161118,1675139,0
YHR148W,184,5.71,321.34,1834.19,1.4742,2.71,6.922538e-05,1.585515e-04,6.627005e-03,53629,14446,39183,213.0,3217590,4642001,0
YHR149C,735,1.24,949.29,1179.45,0.8422,6.19,3.584293e-05,3.451290e-05,1.576320e-02,200606,27900,172706,235.0,18357740,26484621,0
YHR150W,580,1.13,170.15,192.75,0.2584,1.50,1.048124e-05,3.146729e-05,5.055634e-03,238423,95409,143014,246.6,11252668,16234168,0
YHR151C,527,1.18,250.40,294.60,0.5397,2.84,2.293057e-05,3.268094e-05,1.064983e-02,167643,43610,124033,235.4,7569180,10920019,0
YHR152W,174,4.31,247.68,1067.60,1.9311,3.36,7.756938e-05,1.197349e-04,9.833133e-03,56209,12892,43317,248.9,2213200,3192972,0
YHR154W,1071,1.11,2089.67,2312.88,1.7232,18.46,7.348777e-05,3.074488e-05,3.627977e-02,264743,13608,251135,234.5,19710047,28435587,0
YHR155W,1229,0.60,1041.82,622.21,0.7144,8.78,3.145239e-05,1.658988e-05,2.877615e-02,310961,31794,279167,227.1,22959604,33123707,0
YHR156C,341,1.89,207.36,392.80,0.3711,1.27,1.614225e-05,5.261981e-05,4.656259e-03,140346,61949,78397,229.9,8903880,12845583,0
YHR158C,1165,0.86,802.23,689.05,2.0414,23.78,8.560937e-05,2.385892e-05,5.446191e-02,289475,11681,277794,238.4,6495348,9370806,0
YHR159W,505,0.99,58.45,57.71,0.5409,2.73,2.002214e-05,2.742732e-05,1.108025e-02,186363,49945,136418,270.1,2023376,2919114,0
YHR161C,638,2.32,214.51,498.65,0.4277,2.73,1.738519e-05,6.457263e-05,4.086516e-03,214465,57520,156945,246.0,8552385,12338484,0
YHR162W,130,75.15,34.97,2627.87,0.3579,0.47,1.585770e-05,2.087440e-03,1.153051e-04,92398,63061,29337,225.7,1528525,2205195,0
YHR163W,250,7.40,188.79,1396.73,0.8047,2.01,3.921807e-05,2.055070e-04,2.896556e-03,76793,25498,51295,205.2,3336748,4813910,0
YHR164C,1523,0.42,NA,NA,0.8294,12.63,3.502797e-05,1.175133e-05,4.524288e-02,389172,28549,360623,236.8,NA,NA,0
YHR165C,2414,0.60,901.95,540.74,1.2285,29.66,5.514318e-05,1.665364e-05,5.025797e-02,555935,18135,537800,222.8,11337411,16356426,0
YHR166C,627,1.87,151.08,282.32,0.3112,1.95,1.341105e-05,5.190873e-05,3.921432e-03,220041,74565,145476,232.0,7808391,11265126,0
YHR167W,262,5.06,7.33,37.08,0.3429,0.90,1.366266e-05,1.405235e-04,1.475736e-03,138947,73192,65755,251.0,371880,536509,0
YHR168W,500,1.07,19.99,21.30,0.4123,2.06,1.699079e-05,2.960664e-05,8.710572e-03,180200,58855,121345,242.7,815367,1176326,0
YHR169W,432,5.91,69.78,412.43,0.4695,2.03,1.909887e-05,1.641753e-04,1.765722e-03,158545,52359,106186,245.8,2532539,3653681,0
YHR170W,519,12.02,627.09,7535.97,0.5581,2.90,3.049360e-05,3.338172e-04,1.386508e-03,127786,32794,94992,183.0,14254258,20564547,0
YHR171W,631,0.85,145.89,124.47,0.3154,1.99,1.465432e-05,2.369887e-05,9.385561e-03,204057,68239,135818,215.2,6900795,9955743,0
YHR172W,824,0.61,1072.64,649.42,0.9911,8.17,4.190938e-05,1.681786e-05,3.782359e-02,218722,23861,194861,236.5,17740577,25594243,0
YHR175W,190,2.76,141.43,389.95,1.0010,1.90,4.221840e-05,7.658866e-05,8.366805e-03,68736,23686,45050,237.1,2322000,3349938,0
YHR178W,744,0.57,89.65,50.89,0.3193,2.38,1.396454e-05,1.576678e-05,1.344331e-02,241734,71610,170124,228.7,4450127,6420177,0
YHR179W,401,12.04,5592.51,67310.23,4.1257,16.54,2.843529e-04,3.343270e-04,1.290947e-02,61699,3517,58182,145.1,13632481,19667513,1
YHR181W,229,6.08,218.77,1331.16,0.7419,1.70,2.975306e-05,1.690223e-04,2.671837e-03,90714,33610,57104,249.4,5096574,7352802,0
YHR182W,786,0.50,757.70,381.67,0.6307,4.96,2.627630e-05,1.399220e-05,2.850366e-02,226722,38057,188665,240.0,19987486,28835846,0
YHR183W,490,12.89,1819.39,23450.50,3.8898,19.06,3.301876e-04,3.580336e-04,1.399778e-02,60754,3029,57725,117.8,3819358,5510169,0
YHR186C,1558,0.51,1054.89,536.37,1.2168,18.96,5.197219e-05,1.412389e-05,5.585204e-02,383998,19241,364757,234.1,14069001,20297278,0
YHR187W,310,5.47,164.17,897.65,0.3359,1.04,1.345744e-05,1.518807e-04,1.344875e-03,151685,74308,77377,249.6,8455967,12199381,0
YHR188C,611,1.53,1037.23,1590.30,1.3168,8.05,5.756538e-05,4.258920e-05,2.051560e-02,157140,17372,139768,228.8,12489395,18018388,0
YHR190W,445,4.58,1546.78,7078.21,2.5801,11.48,1.457601e-04,1.271140e-04,1.740475e-02,85630,6861,78769,177.0,7355534,10611793,0
YHR191C,134,4.69,23.44,109.90,0.8983,1.20,2.917407e-05,1.302338e-04,3.400130e-03,75537,34277,41260,307.9,556949,803507,0
YHR192W,279,3.40,61.62,209.53,0.7738,2.16,3.502558e-05,9.446001e-05,5.628073e-03,90190,28551,61639,220.9,1219355,1759157,0
YHR193C,175,31.29,4910.47,153671.90,5.2828,9.24,4.363107e-04,8.692984e-04,7.618146e-03,23481,2292,21189,121.1,7801046,11254531,0
YHR194W,580,0.87,111.02,96.98,0.2267,1.32,9.005588e-06,2.426387e-05,5.633448e-03,257067,111042,146025,251.8,8545418,12328432,0
YHR195W,322,5.59,35.35,197.67,0.1858,0.60,7.643319e-06,1.553290e-04,7.468816e-04,209124,130833,78291,243.1,3205679,4624817,0
YHR196W,576,13.58,82.56,1120.98,0.2950,1.70,1.360672e-05,3.771720e-04,5.475658e-04,198381,73493,124888,216.8,4205597,6067394,0
YHR197W,764,4.43,1014.90,4498.49,0.6017,4.60,2.896370e-05,1.231234e-04,3.570556e-03,193248,34526,158722,207.8,24288183,35040441,0
YHR198C,322,1.92,65.76,125.98,0.5829,1.88,2.493247e-05,5.321669e-05,7.111148e-03,115390,40108,75282,233.8,1828138,2637445,0
YHR199C,311,2.28,73.98,168.68,0.6902,2.15,3.100397e-05,6.333568e-05,7.430041e-03,101490,32254,69236,222.6,1653897,2386069,0
YHR200W,269,7.33,115.61,847.18,1.8952,5.10,6.908251e-05,2.035450e-04,5.151456e-03,88273,14475,73798,274.3,1160035,1673577,0
YHR201C,398,10.67,336.24,3587.14,0.5364,2.13,2.285313e-05,2.963481e-04,1.170485e-03,137167,43758,93409,234.7,10198185,14712871,0
YHR202W,603,0.68,143.56,97.37,0.3907,2.36,1.687439e-05,1.884175e-05,1.359343e-02,198889,59261,139628,231.6,5896828,8507325,0
YHR204W,797,2.55,191.63,489.30,0.1522,1.21,6.758372e-06,7.092822e-05,1.446257e-03,327398,147965,179433,225.1,19653411,28353878,0
YHR205W,825,0.71,7058.88,4991.27,3.4759,28.68,1.625573e-04,1.964143e-05,1.256191e-01,182560,6152,176408,213.8,30099186,43423946,0
YHR206W,623,0.87,3068.62,2677.61,2.7929,17.40,1.188802e-04,2.423826e-05,7.444411e-02,154776,8412,146364,234.9,17891984,25812677,0
YHR207C,527,3.58,240.24,861.15,0.6345,3.34,2.714298e-05,9.957249e-05,4.137523e-03,160035,36842,123193,233.8,6134861,8850734,0
YHR208W,394,12.33,37245.85,459225.20,2.9208,11.51,1.912857e-04,3.424880e-04,8.477338e-03,65389,5228,60161,152.7,134964879,194713161,0
YHR209W,292,1.10,77.84,85.72,0.5747,1.68,2.539971e-05,3.058956e-05,1.260311e-02,105436,39371,66065,226.3,2124314,3064737,0
YHR210C,342,1.06,66.13,69.84,0.1106,0.38,5.254412e-06,2.933832e-05,2.718387e-03,262311,190316,71995,210.5,8723660,12585581,0
YIL001W,514,1.48,83.47,123.82,0.3865,1.99,1.687019e-05,4.120572e-05,6.214192e-03,177022,59276,117746,229.1,3429541,4947782,0
YIL002C,947,1.05,1966.35,2055.53,0.4036,3.82,1.635310e-05,2.903768e-05,8.547923e-03,294872,61150,233722,246.8,83346058,120242944,0
YIL002W-A,70,9.76,NA,NA,1.7623,1.23,8.299852e-05,2.710267e-04,4.648155e-03,26911,12048,14863,212.3,NA,NA,0
YIL003W,294,3.95,49.92,197.38,0.4082,1.20,1.512377e-05,1.098232e-04,2.090202e-03,145470,66121,79349,269.9,2288103,3301035,0
YIL004C,143,6.87,176.34,1210.96,0.7476,1.07,2.838846e-05,1.907560e-04,2.258842e-03,72885,35226,37659,263.3,4305594,6211659,0
YIL005W,702,0.85,5235.00,4428.32,2.5231,17.71,1.147144e-04,2.349739e-05,7.410038e-02,163120,8717,154403,219.9,31631854,45635118,0
YIL007C,221,2.97,22.13,65.68,0.4341,0.96,1.697033e-05,8.242992e-05,3.124840e-03,115455,58926,56529,255.8,904017,1304221,0
YIL008W,100,9.53,317.11,3020.77,1.7983,1.80,9.122798e-05,2.646105e-04,5.232911e-03,30674,10962,19712,197.1,2409379,3476000,0
YIL009C-A,182,5.26,7.98,41.98,0.2975,0.54,1.159779e-05,1.460693e-04,1.205143e-03,132901,86223,46678,256.5,477149,688381,0
YIL009W,695,1.80,417.75,751.94,0.9621,6.69,4.885694e-05,4.999927e-05,1.483149e-02,157335,20468,136867,196.9,5926724,8550455,0
YIL010W,216,1.22,766.27,934.28,5.5185,11.92,2.261189e-04,3.386832e-05,1.013364e-01,57137,4422,52715,244.1,2348929,3388789,1
YIL014W,631,3.91,89.13,348.15,0.2472,1.56,1.087269e-05,1.085039e-04,1.520947e-03,235440,91974,143466,227.4,5682052,8197469,0
YIL015W,588,6.09,375.10,2284.26,1.2037,7.08,4.969421e-05,1.691595e-04,4.458941e-03,162546,20123,142423,242.2,5231974,7548143,0
YIL016W,160,5.72,9.19,52.60,0.7801,1.25,3.337754e-05,1.589424e-04,3.187402e-03,67355,29960,37395,233.7,190907,275420,0
YIL017C,922,1.17,NA,NA,0.2092,1.93,8.375130e-06,3.236953e-05,3.927150e-03,349681,119401,230280,249.8,NA,NA,0
YIL019W,347,5.87,367.62,2156.45,0.7238,2.51,3.095449e-05,1.629448e-04,2.883403e-03,113444,32305,81139,233.8,8231869,11876077,0
YIL020C,262,5.09,703.91,3582.19,0.8578,2.25,3.706582e-05,1.413617e-04,3.979827e-03,87611,26979,60632,231.4,13163336,18990679,0
YIL021W,319,9.41,240.64,2265.10,0.7252,2.31,3.398170e-05,2.614644e-04,1.972672e-03,97505,29428,68077,213.4,4908539,7081525,0
YIL022W,432,2.66,277.94,738.19,1.9936,8.61,8.016364e-05,7.377718e-05,1.649217e-02,119907,12474,107433,248.7,2403212,3467102,0
YIL023C,347,5.87,17.71,103.90,0.2184,0.76,8.886278e-06,1.629448e-04,8.277548e-04,197804,112533,85271,245.7,1381637,1993281,0
YIL026C,1151,0.59,1706.64,1013.92,1.7748,20.43,8.347347e-05,1.650282e-05,7.677372e-02,256701,11980,244721,212.6,14171587,20445278,0
YIL027C,142,16.07,96.15,1545.36,0.5580,0.79,2.198404e-05,4.464609e-04,7.473885e-04,81531,45488,36043,253.8,3031533,4373577,0
YIL029C,143,2.85,1.85,5.28,0.0123,0.02,4.770906e-07,7.917018e-05,9.146639e-05,2132767,2096038,36729,256.8,2689313,3879859,0
YIL030C,1320,1.29,1002.51,1291.43,1.9532,25.78,9.251793e-05,3.578316e-05,3.924366e-02,289478,10809,278669,211.1,7510849,10835865,0
YIL031W,1035,0.44,589.07,258.44,0.7699,7.97,3.486133e-05,1.218695e-05,4.341815e-02,257261,28685,228576,220.8,11712398,16897418,0
YIL033C,417,1.45,465.56,677.27,3.2273,13.46,1.457764e-04,4.040956e-05,5.475522e-02,99178,6860,92318,221.4,2213670,3193651,0
YIL034C,288,2.12,1159.05,2460.83,2.7280,7.86,1.258907e-04,5.897628e-05,3.239951e-02,70352,7943,62409,216.7,6381651,9206777,0
YIL035C,373,9.67,553.82,5356.25,0.3904,1.46,1.833801e-05,2.686507e-04,1.036064e-03,133943,54532,79411,212.9,20933592,30200789,0
YIL036W,588,0.93,1674.86,1563.37,2.5114,14.77,1.141963e-04,2.592864e-05,6.684898e-02,138072,8757,129315,219.9,10166030,14666481,0
YIL038C,837,1.86,1395.30,2596.20,2.0299,16.99,8.373095e-05,5.168526e-05,2.458904e-02,214862,11943,202919,242.4,11550680,16664109,0
YIL039W,474,5.15,1312.34,6755.98,0.8432,4.00,4.361493e-05,1.430011e-04,4.629329e-03,114570,22928,91642,193.3,20856288,30089263,0
YIL040W,139,5.30,140.37,743.41,1.1126,1.55,5.840005e-05,1.471131e-04,6.025376e-03,43605,17123,26482,190.5,1666044,2403593,0
YIL041W,327,3.02,1527.63,4618.56,7.5675,24.75,3.621434e-04,8.398180e-05,6.545121e-02,71092,2761,68331,209.0,2923909,4218309,1
YIL043C,285,18.50,248.70,4602.04,0.7368,2.10,3.384751e-05,5.140125e-04,9.994829e-04,91581,29544,62037,217.7,5092996,7347640,0
YIL044C,299,3.07,224.59,688.99,1.5681,4.69,6.557854e-05,8.521710e-05,1.168039e-02,86744,15249,71495,239.1,2373834,3424719,0
YIL045W,539,0.93,NA,NA,0.5649,3.04,2.489521e-05,2.597129e-05,1.454938e-02,162471,40168,122303,226.9,NA,NA,0
YIL046W,641,1.51,23.80,35.86,0.3464,2.22,1.244260e-05,4.185602e-05,4.512067e-03,258844,80369,178475,278.4,1325707,1912591,0
YIL047C,903,4.34,22.10,96.00,0.2063,1.86,8.500949e-06,1.206693e-04,1.069284e-03,336724,117634,219090,242.6,1801820,2599477,0
YIL048W,1152,0.87,344.76,298.67,0.8858,10.20,4.012773e-05,2.406436e-05,2.531003e-02,279208,24920,254288,220.7,5955160,8591479,0
YIL049W,254,1.71,256.77,439.48,0.6203,1.58,2.560661e-05,4.754427e-05,8.174782e-03,100586,39052,61534,242.3,6950417,10027332,0
YIL050W,286,2.10,184.33,387.30,1.1636,3.33,4.737408e-05,5.836379e-05,1.232025e-02,91354,21109,70245,245.6,2697034,3890998,0
YIL051C,146,20.14,4676.05,94162.54,6.5842,9.61,3.923993e-04,5.593666e-04,1.064766e-02,27046,2548,24498,167.8,8259929,11916558,1
YIL053W,251,40.40,1088.88,43993.66,3.0371,7.62,2.735565e-04,1.122298e-03,3.699654e-03,31523,3656,27867,111.0,2759037,3980450,0
YIL056W,641,1.08,777.99,842.38,0.8419,5.40,3.536819e-05,3.007688e-05,1.784853e-02,180859,28274,152585,238.0,15247067,21996868,0
YIL061C,301,0.79,219.25,172.80,1.1158,3.36,4.971062e-05,2.189285e-05,3.446428e-02,87677,20116,67561,224.5,3057191,4410594,0
YIL062C,155,15.44,52.66,813.24,1.3437,2.08,5.565429e-05,4.289749e-04,1.969197e-03,55390,17968,37422,241.4,655862,946209,0
YIL063C,328,6.11,83.59,510.63,1.0045,3.29,4.614021e-05,1.696853e-04,4.127220e-03,93082,21673,71409,217.7,1255747,1811660,0
YIL064W,258,7.34,116.75,857.28,0.4930,1.27,1.988334e-05,2.039738e-04,1.479576e-03,114259,50293,63966,247.9,4069867,5871578,0
YIL065C,156,4.81,22.77,109.43,0.7395,1.15,2.849706e-05,1.334917e-04,3.240172e-03,75571,35091,40480,259.5,553888,799092,0
YIL067C,679,1.90,45.51,86.50,0.2941,2.00,1.206887e-05,5.279580e-05,3.469681e-03,248328,82858,165470,243.7,2613656,3770709,0
YIL068C,806,1.42,672.70,958.31,0.6220,5.01,2.697369e-05,3.957140e-05,1.034621e-02,222933,37073,185860,230.6,17286497,24939143,0
YIL070C,267,5.56,429.55,2386.81,1.5182,4.05,7.349854e-05,1.543478e-04,7.227708e-03,68759,13606,55153,206.6,4050989,5844341,0
YIL071C,445,2.32,105.16,243.74,0.1985,0.88,7.915817e-06,6.438027e-05,1.866230e-03,237940,126329,111611,250.8,9208718,13285372,0
YIL074C,470,7.16,489.59,3503.65,0.9726,4.57,5.275901e-05,1.987846e-04,4.028434e-03,105597,18954,86643,184.3,6432262,9279792,0
